n;empresa;score;url_contacto;mensaje;demo_url;slug;lead_id;email;web
"146";"De la Llave";"8.5";"https://www.delallave.net/";"";"https://presupuestos.nico-soto.es/demo/de-la-llave";"de-la-llave";"bcc9e250-9651-4bfb-af59-c6914eb4dd4d";"info@delallave.net";"https://www.delallave.net/"
"147";"Simetrika";"8.5";"https://simetrika.es/";"";"https://presupuestos.nico-soto.es/demo/simetrika";"simetrika";"d0a55fc2-17e2-4c62-8ccf-97513cce1548";"web@simetrika.es";"https://simetrika.es/"
"148";"Renueva 3C";"8.5";"http://www.renueva3c.es/";"";"https://presupuestos.nico-soto.es/demo/renueva-3c";"renueva-3c";"88b4faaa-6a2c-40d7-9bbf-0c1a890006e5";"info@renueva3c.es";"http://www.renueva3c.es/"
"149";"Kozma";"8.5";"https://kozma.es/";"";"https://presupuestos.nico-soto.es/demo/kozma";"kozma";"a389d62a-0ccc-4613-897c-d193a05f6085";"info@kozma.es";"https://kozma.es/"
"150";"Reformas Javier Recio";"8.5";"http://www.reformas-jrecio.com/";"";"https://presupuestos.nico-soto.es/demo/reformas-jrecio";"reformas-jrecio";"9962ef9c-b471-43ea-a4e6-642c25bd563d";"reformas.jrecio@gmail.com";"http://www.reformas-jrecio.com/"
"151";"Seira Reformas";"8.5";"https://seirasl.es/";"";"https://presupuestos.nico-soto.es/demo/seira-reformas";"seira-reformas";"d00e56ab-18a5-42f2-a54e-3c02825819cc";"seira@seirasl.es";"https://seirasl.es/"
"152";"HomeTrader Reformas";"8.5";"http://www.reformashometrader.com/";"";"https://presupuestos.nico-soto.es/demo/hometrader";"hometrader";"b463806c-9fa2-42e9-850c-0711c271391e";"info@reformashometrader.com";"http://www.reformashometrader.com/"
"153";"Reformas Lenzo";"8.5";"https://www.reformaslenzo.es/";"";"https://presupuestos.nico-soto.es/demo/reformas-lenzo";"reformas-lenzo";"10183611-6dbe-4453-85eb-e5154595080c";"info@reformaslenzo.es";"https://www.reformaslenzo.es/"
"154";"Reformalista";"8.5";"https://reformalista.es/";"";"https://presupuestos.nico-soto.es/demo/reformalista";"reformalista";"07469710-1594-44a3-8e5c-cc1a77c15180";"info@reformalista.es";"https://reformalista.es/"
"155";"Renovatotal";"8.5";"http://www.renovatotal.com.es/";"";"https://presupuestos.nico-soto.es/demo/renovatotal";"renovatotal";"8aaca61b-0e50-47a3-9846-a1d1169ed837";"info@renovatotal.com.es";"http://www.renovatotal.com.es/"
"156";"Tecfincas";"8.5";"https://tecfincas.com/";"";"https://presupuestos.nico-soto.es/demo/tecfincas";"tecfincas";"3a3f07ad-ec83-4e3a-90b1-1569478406f6";"tecfincas@gmail.com";"https://tecfincas.com/"
"157";"AyC Proyectos";"8.5";"http://www.aycproyectos.info/";"";"https://presupuestos.nico-soto.es/demo/ayc-proyectos";"ayc-proyectos";"d962a88a-f6f6-4170-b10a-68e5716b31ee";"contacto@aycproyectos.info";"http://www.aycproyectos.info/"
"158";"Reformas JL Marlo";"8.5";"https://reformasjlmarlo.es/";"";"https://presupuestos.nico-soto.es/demo/reformas-jl-marlo";"reformas-jl-marlo";"6a4da179-f633-4410-990d-55be232ad1f1";"info@reformasjlmarlo.es";"https://reformasjlmarlo.es/"
"159";"Antter Interiores";"8.5";"http://antterinteriores.com/";"";"https://presupuestos.nico-soto.es/demo/antter-interiores";"antter-interiores";"b9659dc1-4d2a-4d1e-b94c-451af4cb90d6";"info@antterinteriores.com";"http://antterinteriores.com/"
"160";"Keshia Interiorismo";"8.5";"https://keshiainteriorismo.es/";"";"https://presupuestos.nico-soto.es/demo/keshia";"keshia";"4593ded8-714d-4a86-a2ef-bdbc5eb0f7c3";"info@keshiainteriorismo.es";"https://keshiainteriorismo.es/"
"161";"Cisoyer";"8.5";"https://cisoyer.es/";"";"https://presupuestos.nico-soto.es/demo/cisoyer";"cisoyer";"fe6bb0a2-2132-491d-9b67-0c2574bb8f2c";"info@cisoyer.es";"https://cisoyer.es/"
"162";"A198 Design";"8.5";"http://www.a198design.com/";"";"https://presupuestos.nico-soto.es/demo/a198-design";"a198-design";"812f15fb-9749-4e8a-80d9-10e7e3c22f17";"contacto@a198design.com";"http://www.a198design.com/"
"163";"Reformas CGR";"8.5";"http://www.reformascgr.es/";"";"https://presupuestos.nico-soto.es/demo/reformas-cgr";"reformas-cgr";"13febfda-880c-4453-9f31-b69a0ddfc74f";"comercial@reformascgr.es";"http://www.reformascgr.es/"
"164";"Unitec Reformas";"8.5";"http://www.unitec-reformas.net/";"";"https://presupuestos.nico-soto.es/demo/unitec-reformas";"unitec-reformas";"1da2d7ad-c6a5-447e-aead-f2e87adf13c3";"angelbueno@unitec-reformas.net";"http://www.unitec-reformas.net/"
"165";"Caoba Majadahonda";"8.5";"http://www.caobamajadahonda.com/";"";"https://presupuestos.nico-soto.es/demo/caoba-majadahonda";"caoba-majadahonda";"2dfee82a-992d-4d7a-a79a-b003be160981";"info@caobamajadahonda.com";"http://www.caobamajadahonda.com/"
